date            Late Temp [C]
01/01/2017      17.0491 
02/01/2017      17.0741 
03/01/2017      17.0969 
04/01/2017      17.1176 
05/01/2017      17.1363 
06/01/2017      17.1532 
07/01/2017      17.1682 
08/01/2017      17.1816 
09/01/2017      17.1933 
10/01/2017      17.2035 
11/01/2017      17.2122 
12/01/2017      17.2195 
13/01/2017      17.2255 
14/01/2017      17.2304 
15/01/2017      17.2341 
16/01/2017      17.2369 
17/01/2017      17.2386 
18/01/2017      17.2396 
19/01/2017      17.2397 
20/01/2017      17.2392 
21/01/2017      17.2381 
22/01/2017      17.2365 
23/01/2017      17.2345 
24/01/2017      17.2321 
25/01/2017      17.2295 
26/01/2017      17.2268 
27/01/2017      17.2239 
28/01/2017      17.2211 
29/01/2017      17.2184 
30/01/2017      17.2158 
31/01/2017      17.2136 
01/02/2017      17.2117 
02/02/2017      17.2102 
03/02/2017      17.2093 
04/02/2017      17.2090 
05/02/2017      17.2094 
06/02/2017      17.2106 
07/02/2017      17.2127 
08/02/2017      17.2157 
09/02/2017      17.2198 
10/02/2017      17.2251 
11/02/2017      17.2315 
12/02/2017      17.2393 
13/02/2017      17.2485 
14/02/2017      17.2591 
15/02/2017      17.2713 
16/02/2017      17.2849 
17/02/2017      17.2998 
18/02/2017      17.3158 
19/02/2017      17.3327 
20/02/2017      17.3503 
21/02/2017      17.3686 
22/02/2017      17.3874 
23/02/2017      17.4065 
24/02/2017      17.4257 
25/02/2017      17.4449 
26/02/2017      17.4640 
27/02/2017      17.4827 
28/02/2017      17.5009 
01/03/2017      17.5185 
02/03/2017      17.5353 
03/03/2017      17.5512 
04/03/2017      17.5659 
05/03/2017      17.5794 
06/03/2017      17.5914 
07/03/2017      17.6018 
08/03/2017      17.6105 
09/03/2017      17.6173 
10/03/2017      17.6220 
11/03/2017      17.6245 
12/03/2017      17.6246 
13/03/2017      17.6222 
14/03/2017      17.6171 
15/03/2017      17.6091 
16/03/2017      17.5982 
17/03/2017      17.5844 
18/03/2017      17.5678 
19/03/2017      17.5486 
20/03/2017      17.5269 
21/03/2017      17.5028 
22/03/2017      17.4765 
23/03/2017      17.4480 
24/03/2017      17.4175 
25/03/2017      17.3852 
26/03/2017      17.3511 
27/03/2017      17.3154 
28/03/2017      17.2783 
29/03/2017      17.2397 
30/03/2017      17.2000 
31/03/2017      17.1591 
01/04/2017      17.1172 
02/04/2017      17.0745 
03/04/2017      17.0310 
04/04/2017      16.9870 
05/04/2017      16.9425 
06/04/2017      16.8976 
07/04/2017      16.8525 
08/04/2017      16.8073 
09/04/2017      16.7622 
10/04/2017      16.7172 
11/04/2017      16.6725 
12/04/2017      16.6282 
13/04/2017      16.5845 
14/04/2017      16.5414 
15/04/2017      16.4991 
16/04/2017      16.4578 
17/04/2017      16.4173 
18/04/2017      16.3776 
19/04/2017      16.3387 
20/04/2017      16.3005 
21/04/2017      16.2630 
22/04/2017      16.2262 
23/04/2017      16.1900 
24/04/2017      16.1543 
25/04/2017      16.1191 
26/04/2017      16.0844 
27/04/2017      16.0501 
28/04/2017      16.0161 
29/04/2017      15.9825 
30/04/2017      15.9491 
01/05/2017      15.9160 
02/05/2017      15.8830 
03/05/2017      15.8502 
04/05/2017      15.8174 
05/05/2017      15.7847 
06/05/2017      15.7519 
07/05/2017      15.7192 
08/05/2017      15.6863 
09/05/2017      15.6532 
10/05/2017      15.6200 
11/05/2017      15.5865 
12/05/2017      15.5527 
13/05/2017      15.5186 
14/05/2017      15.4841 
15/05/2017      15.4491 
16/05/2017      15.4137 
17/05/2017      15.3779 
18/05/2017      15.3417 
19/05/2017      15.3050 
20/05/2017      15.2681 
21/05/2017      15.2308 
22/05/2017      15.1932 
23/05/2017      15.1554 
24/05/2017      15.1174 
25/05/2017      15.0792 
26/05/2017      15.0409 
27/05/2017      15.0025 
28/05/2017      14.9640 
29/05/2017      14.9255 
30/05/2017      14.8869 
31/05/2017      14.8484 
01/06/2017      14.8100 
02/06/2017      14.7716 
03/06/2017      14.7334 
04/06/2017      14.6953 
05/06/2017      14.6575 
06/06/2017      14.6198 
07/06/2017      14.5825 
08/06/2017      14.5454 
09/06/2017      14.5087 
10/06/2017      14.4723 
11/06/2017      14.4363 
12/06/2017      14.4008 
13/06/2017      14.3657 
14/06/2017      14.3312 
15/06/2017      14.2971 
16/06/2017      14.2637 
17/06/2017      14.2308 
18/06/2017      14.1986 
19/06/2017      14.1670 
20/06/2017      14.1360 
21/06/2017      14.1058 
22/06/2017      14.0763 
23/06/2017      14.0475 
24/06/2017      14.0195 
25/06/2017      13.9923 
26/06/2017      13.9659 
27/06/2017      13.9403 
28/06/2017      13.9157 
29/06/2017      13.8919 
30/06/2017      13.8691 
01/07/2017      13.8472 
02/07/2017      13.8262 
03/07/2017      13.8063 
04/07/2017      13.7874 
05/07/2017      13.7695 
06/07/2017      13.7527 
07/07/2017      13.7371 
08/07/2017      13.7225 
09/07/2017      13.7091 
10/07/2017      13.6968 
11/07/2017      13.6858 
12/07/2017      13.6760 
13/07/2017      13.6674 
14/07/2017      13.6601 
15/07/2017      13.6541 
16/07/2017      13.6495 
17/07/2017      13.6461 
18/07/2017      13.6440 
19/07/2017      13.6431 
20/07/2017      13.6434 
21/07/2017      13.6449 
22/07/2017      13.6475 
23/07/2017      13.6512 
24/07/2017      13.6560 
25/07/2017      13.6618 
26/07/2017      13.6686 
27/07/2017      13.6764 
28/07/2017      13.6851 
29/07/2017      13.6947 
30/07/2017      13.7053 
31/07/2017      13.7166 
01/08/2017      13.7288 
02/08/2017      13.7417 
03/08/2017      13.7554 
04/08/2017      13.7698 
05/08/2017      13.7849 
06/08/2017      13.8006 
07/08/2017      13.8170 
08/08/2017      13.8339 
09/08/2017      13.8514 
10/08/2017      13.8694 
11/08/2017      13.8879 
12/08/2017      13.9069 
13/08/2017      13.9262 
14/08/2017      13.9460 
15/08/2017      13.9661 
16/08/2017      13.9866 
17/08/2017      14.0074 
18/08/2017      14.0285 
19/08/2017      14.0498 
20/08/2017      14.0715 
21/08/2017      14.0934 
22/08/2017      14.1155 
23/08/2017      14.1379 
24/08/2017      14.1605 
25/08/2017      14.1833 
26/08/2017      14.2063 
27/08/2017      14.2295 
28/08/2017      14.2529 
29/08/2017      14.2764 
30/08/2017      14.3000 
31/08/2017      14.3238 
01/09/2017      14.3477 
02/09/2017      14.3717 
03/09/2017      14.3958 
04/09/2017      14.4200 
05/09/2017      14.4442 
06/09/2017      14.4685 
07/09/2017      14.4928 
08/09/2017      14.5172 
09/09/2017      14.5415 
10/09/2017      14.5659 
11/09/2017      14.5902 
12/09/2017      14.6145 
13/09/2017      14.6388 
14/09/2017      14.6630 
15/09/2017      14.6871 
16/09/2017      14.7112 
17/09/2017      14.7352 
18/09/2017      14.7592 
19/09/2017      14.7831 
20/09/2017      14.8070 
21/09/2017      14.8309 
22/09/2017      14.8549 
23/09/2017      14.8789 
24/09/2017      14.9030 
25/09/2017      14.9271 
26/09/2017      14.9514 
27/09/2017      14.9757 
28/09/2017      15.0003 
29/09/2017      15.0249 
30/09/2017      15.0498 
01/10/2017      15.0748 
02/10/2017      15.1001 
03/10/2017      15.1256 
04/10/2017      15.1513 
05/10/2017      15.1773 
06/10/2017      15.2036 
07/10/2017      15.2302 
08/10/2017      15.2571 
09/10/2017      15.2844 
10/10/2017      15.3120 
11/10/2017      15.3400 
12/10/2017      15.3684 
13/10/2017      15.3972 
14/10/2017      15.4264 
15/10/2017      15.4561 
16/10/2017      15.4863 
17/10/2017      15.5169 
18/10/2017      15.5479 
19/10/2017      15.5792 
20/10/2017      15.6109 
21/10/2017      15.6428 
22/10/2017      15.6749 
23/10/2017      15.7072 
24/10/2017      15.7397 
25/10/2017      15.7723 
26/10/2017      15.8050 
27/10/2017      15.8376 
28/10/2017      15.8703 
29/10/2017      15.9029 
30/10/2017      15.9354 
31/10/2017      15.9678 
01/11/2017      16.0000 
02/11/2017      16.0320 
03/11/2017      16.0638 
04/11/2017      16.0952 
05/11/2017      16.1263 
06/11/2017      16.1571 
07/11/2017      16.1874 
08/11/2017      16.2173 
09/11/2017      16.2466 
10/11/2017      16.2755 
11/11/2017      16.3037 
12/11/2017      16.3313 
13/11/2017      16.3583 
14/11/2017      16.3846 
15/11/2017      16.4101 
16/11/2017      16.4349 
17/11/2017      16.4589 
18/11/2017      16.4822 
19/11/2017      16.5047 
20/11/2017      16.5266 
21/11/2017      16.5477 
22/11/2017      16.5682 
23/11/2017      16.5881 
24/11/2017      16.6073 
25/11/2017      16.6259 
26/11/2017      16.6439 
27/11/2017      16.6614 
28/11/2017      16.6782 
29/11/2017      16.6946 
30/11/2017      16.7105 
01/12/2017      16.7258 
02/12/2017      16.7407 
03/12/2017      16.7551 
04/12/2017      16.7691 
05/12/2017      16.7826 
06/12/2017      16.7958 
07/12/2017      16.8085 
08/12/2017      16.8209 
09/12/2017      16.8330 
10/12/2017      16.8447 
11/12/2017      16.8561 
12/12/2017      16.8673 
13/12/2017      16.8781 
14/12/2017      16.8888 
15/12/2017      16.8991 
16/12/2017      16.9093 
17/12/2017      16.9193 
18/12/2017      16.9291 
19/12/2017      16.9387 
20/12/2017      16.9482 
21/12/2017      16.9576 
22/12/2017      16.9669 
23/12/2017      16.9761 
24/12/2017      16.9853 
25/12/2017      16.9944 
26/12/2017      17.0035 
27/12/2017      17.0125 
28/12/2017      17.0216 
29/12/2017      17.0307 
30/12/2017      17.0399 
31/12/2017      17.0451 
01/01/2018      17.0491 
02/01/2018      17.0741 
03/01/2018      17.0969 
04/01/2018      17.1176 
05/01/2018      17.1363 
06/01/2018      17.1532 
07/01/2018      17.1682 
08/01/2018      17.1816 
09/01/2018      17.1933 
10/01/2018      17.2035 
11/01/2018      17.2122 
12/01/2018      17.2195 
13/01/2018      17.2255 
14/01/2018      17.2304 
15/01/2018      17.2341 
16/01/2018      17.2369 
17/01/2018      17.2386 
18/01/2018      17.2396 
19/01/2018      17.2397 
20/01/2018      17.2392 
21/01/2018      17.2381 
22/01/2018      17.2365 
23/01/2018      17.2345 
24/01/2018      17.2321 
25/01/2018      17.2295 
26/01/2018      17.2268 
27/01/2018      17.2239 
28/01/2018      17.2211 
29/01/2018      17.2184 
30/01/2018      17.2158 
31/01/2018      17.2136 
01/02/2018      17.2117 
02/02/2018      17.2102 
03/02/2018      17.2093 
04/02/2018      17.2090 
05/02/2018      17.2094 
06/02/2018      17.2106 
07/02/2018      17.2127 
08/02/2018      17.2157 
09/02/2018      17.2198 
10/02/2018      17.2251 
11/02/2018      17.2315 
12/02/2018      17.2393 
13/02/2018      17.2485 
14/02/2018      17.2591 
15/02/2018      17.2713 
16/02/2018      17.2849 
17/02/2018      17.2998 
18/02/2018      17.3158 
19/02/2018      17.3327 
20/02/2018      17.3503 
21/02/2018      17.3686 
22/02/2018      17.3874 
23/02/2018      17.4065 
24/02/2018      17.4257 
25/02/2018      17.4449 
26/02/2018      17.4640 
27/02/2018      17.4827 
28/02/2018      17.5009 
01/03/2018      17.5185 
02/03/2018      17.5353 
03/03/2018      17.5512 
04/03/2018      17.5659 
05/03/2018      17.5794 
06/03/2018      17.5914 
07/03/2018      17.6018 
08/03/2018      17.6105 
09/03/2018      17.6173 
10/03/2018      17.6220 
11/03/2018      17.6245 
12/03/2018      17.6246 
13/03/2018      17.6222 
14/03/2018      17.6171 
15/03/2018      17.6091 
16/03/2018      17.5982 
17/03/2018      17.5844 
